version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
C:\Users\1\Desktop\B0\q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1000,a39334436216b7720ce278b711385d7dca832383743dc7ee45cf80f278994aa2,15,14,13,False,4687.426431,360.5712639230769,3308.426431,1379.0,216,207,9,18,1.9840000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_067_rescan1\workspace\code,v437-rescan1,1000,a39334436216b7720ce278b711385d7dca832383743dc7ee45cf80f278994aa2,15,14,14,False,5828.609217,416.3292297857143,4327.609217,1501.0,219,210,42,19,2.0,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_068_single_bearing_rescan\workspace\code,v438-single-bearing-rescan,1000,a39334436216b7720ce278b711385d7dca832383743dc7ee45cf80f278994aa2,15,14,13,False,5345.230488,411.171576,4000.230488,1345.0,209,199,12,18,1.9369999999980791,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1001,6a92cde9a30ece31faeac9a4be1e43b8aa972356165c7304da2dbae1a85fe92c,16,1,16,True,4273.706309,267.1066443125,3279.706309,994.0,139,129,30,19,1.889999999999418,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_067_rescan1\workspace\code,v437-rescan1,1001,6a92cde9a30ece31faeac9a4be1e43b8aa972356165c7304da2dbae1a85fe92c,16,1,16,True,4377.476666,273.592291625,3378.476666,999.0,134,126,41,18,1.9679999999971187,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_068_single_bearing_rescan\workspace\code,v438-single-bearing-rescan,1001,6a92cde9a30ece31faeac9a4be1e43b8aa972356165c7304da2dbae1a85fe92c,16,1,16,True,4234.977501,264.6860938125,3280.977501,954.0,129,121,36,19,1.9059999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1002,b16bedba126f505b0eef897842824c4628a3ef6bed6b3f14ef46b6cc0e790676,13,10,13,True,5334.207379,410.32364453846156,3937.207379,1397.0,215,200,19,19,2.0469999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_067_rescan1\workspace\code,v437-rescan1,1002,b16bedba126f505b0eef897842824c4628a3ef6bed6b3f14ef46b6cc0e790676,13,10,13,True,5283.143941,406.3956877692308,3933.143941,1350.0,206,195,20,19,2.077999999997701,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_068_single_bearing_rescan\workspace\code,v438-single-bearing-rescan,1002,b16bedba126f505b0eef897842824c4628a3ef6bed6b3f14ef46b6cc0e790676,13,10,13,True,5366.789828,412.82998676923074,3965.789828,1401.0,213,199,24,19,1.8119999999980791,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
C:\Users\1\Desktop\B0\q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1003,6ec4fe5f46e6a1fb96e9ff2fa84a021808ee77fd95395210770bfa4b527358b2,10,2,10,True,4827.3339,482.73339,3511.3339,1316.0,200,191,25,15,1.5779999999977008,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
