version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90000,efc8778aab9e83a3b491bb6530c831c49f1c599dd85043a47b37921fc7829523,14,1,14,True,3990.525969,285.0375692142857,3057.525969,933.0,139,129,13,16,1.7189999999973224,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90000,efc8778aab9e83a3b491bb6530c831c49f1c599dd85043a47b37921fc7829523,14,1,14,True,3971.661798,283.6901284285714,3057.661798,914.0,136,125,13,16,1.7659999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90001,7c6931df14e2cefc29e576fcdaebd58ed0caf841a95dfac326ab3f416fd2951b,15,10,15,True,5188.764118,345.9176078666667,3765.764118,1423.0,206,189,43,22,1.875,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90001,7c6931df14e2cefc29e576fcdaebd58ed0caf841a95dfac326ab3f416fd2951b,15,10,15,True,5178.750756,345.2500504,3765.750756,1413.0,204,189,43,22,1.9059999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90002,565d8d76d8e1865d683158ce5d61af4a0c51269c8e9744728506caf78dbd5837,16,11,15,False,4954.154213,330.2769475333333,3855.154213,1099.0,162,151,21,18,1.75,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90002,565d8d76d8e1865d683158ce5d61af4a0c51269c8e9744728506caf78dbd5837,16,11,15,False,4880.113409,325.3408939333333,3793.113409,1087.0,161,150,19,18,1.7969999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90003,141114b1d14560fb393eff26cd822a0cfe4ec0bdede9b0ee534fe272dedc8098,13,3,12,False,4714.607863,392.88398858333335,3186.607863,1528.0,237,226,19,21,1.7809999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90003,141114b1d14560fb393eff26cd822a0cfe4ec0bdede9b0ee534fe272dedc8098,13,3,12,False,4714.607863,392.88398858333335,3186.607863,1528.0,237,226,19,21,1.7969999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90004,e1015b840d24c6480c17f09b43ebdb9accb5c4596284607ae34ab50337b33ca9,15,1,15,True,4321.398716,288.0932477333333,3328.398716,993.0,150,141,9,20,1.7340000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90004,e1015b840d24c6480c17f09b43ebdb9accb5c4596284607ae34ab50337b33ca9,15,1,15,True,4253.085114,283.53900760000005,3275.085114,978.0,147,138,10,20,1.7810000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90005,44c715f457b4978ef3761cd630c123d20bb56998a0d5e14f9d8a49b2b2dbe6e1,14,9,14,True,5465.271088,390.3765062857143,3815.271088,1650.0,256,246,18,22,1.5780000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90005,44c715f457b4978ef3761cd630c123d20bb56998a0d5e14f9d8a49b2b2dbe6e1,14,9,14,True,5465.271088,390.3765062857143,3815.271088,1650.0,256,246,18,22,1.5939999999973224,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90006,9a75d731a6419481c3a0c10d8596a60583a10d92670b0b22e8d58618507344f5,12,10,12,True,6239.153288,519.9294406666667,4413.153288,1826.0,260,244,74,20,1.7029999999977008,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90006,9a75d731a6419481c3a0c10d8596a60583a10d92670b0b22e8d58618507344f5,12,10,12,True,6214.153288,517.8461073333334,4413.153288,1801.0,256,239,74,20,1.7340000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90007,9f2a8120a2455b68bf22040d024f0b88b666bf2eda21986b1ff01822fb73d06b,11,11,10,False,4924.600995,492.46009949999996,3310.600995,1614.0,253,242,19,18,1.375,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90007,9f2a8120a2455b68bf22040d024f0b88b666bf2eda21986b1ff01822fb73d06b,11,11,10,False,4924.600995,492.46009949999996,3310.600995,1614.0,253,242,19,18,1.4530000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90008,469da32535cd2159b654c52cff4c6cb45ba774b551cbe8ca0723a04de98a554c,14,1,14,True,4473.765918,319.5547084285714,3188.765918,1285.0,196,184,17,19,1.6869999999980791,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
